Spanish,English
Tener,to have
Llevar,to carry / to wear / to take
Quedarse,to stay / to remain
Dejar,to leave / to allow
Pasar,to pass / to happen / to spend time
Tocar,to touch / to play (an instrument)
Sentir (E>IE),to feel
Perderse (E>IE),to get lost
Responder,to answer
Cambiar,to change
Sacar,to take out / to get
Mantener (E>IE + Yo mantengo),to maintain
Parecerse a (Yo me parezco),to look like / to resemble
Usar,to use
Ayudar,to help
Producir (Yo produzco),to produce
Quedar,to meet up / to arrange to meet
Seguir + gerundio (E>I),to keep doing something
Volver a + infinitivo (O>UE),to do something again
Dejar de + infinitivo,to stop doing something
