Spanish,English
Despertar (E>IE),wakker maken / worden
Empezar (E>IE),beginnen
Sentarse (E>IE),gaan zitten
Encender (E>IE),aanzetten / aansteken
Querer (E>IE),willen / houden van
Calentar (E>IE),verwarmen
Entender (E>IE),begrijpen
Divertirse (E>IE),zich vermaken
Preferir (E>IE),voorkeur geven aan
Merendar (E>IE),een tussendoortje nemen
Perder (E>IE),verliezen
Cerrar (E>IE),sluiten
Pesar (E>IE),wegen
Venir (E>IE + Yo vengo),komen
Sonar (O>UE),geluiden maken / rinkelen
Soler (O>UE),to usually do
Almorzar (O>UE),lunchen
Soñar (O>UE),dromen
Volver (O>UE),terugkeren
Cocer (O>UE),koken
Acostarse (O>UE),naar bed gaan
Poder (O>UE),kunnen
Mostrar (O>UE),tonen / laten zien
Aprobar (O>UE),goedkeuren / slagen
Costar (O>UE),kosten
Encontrar (O>UE),vinden
Jugar (U>UE),spelen
Vestirse (E>I),zich aankleden
Conseguir (E>I + Yo consigo),bereiken / verkrijgen
Seguir (E>I),volgen
Servir (E>I),serveren / dienen
Medir (E>I),meten
Pedir (E>I),to ask / order
Decir (E>I + Yo digo),zeggen
Hacer (Yo hago),doen / maken
Salir (Yo salgo),uitgaan / vertrekken
Estar (Yo estoy),zijn / zich bevinden
Recoger (Yo recojo),ophalen
Caer (Yo caigo),vallen
Caber (Yo quepo),passen
Conocer (Yo conozco),kennen
Dar (Yo doy),geven
Saber (Yo sé),weten
Poner (Yo pongo),plaatsen / zetten
Parecer (Yo parezco),lijken
Traer (Yo traigo),meebrengen
